,name,link
138,2008 Japan Open (150 Class),https://www.pdga.com/tour/event/7272
139,Golden State Classic,https://www.pdga.com/tour/event/7288
140,Brent Hambrick Memorial Open,https://www.pdga.com/tour/event/7289
141,Scandinavian Open,https://www.pdga.com/tour/event/7274
142,The Vibram Open at Maple Hill,https://www.pdga.com/tour/event/7290
143,2008 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/7276
144,United States Masters Disc Golf Championships,https://www.pdga.com/tour/event/7277
145,United States Women's Disc Golf Championships,https://www.pdga.com/tour/event/7278
146,United States Disc Golf Championship,https://www.pdga.com/tour/event/7279
147,The Players Cup,https://www.pdga.com/tour/event/7281
148,The Memorial presented by Discraft,https://www.pdga.com/tour/event/8387
149,Atlanta Open,https://www.pdga.com/tour/event/8388
150,Green Country Open,https://www.pdga.com/tour/event/8390
151,Steady Ed Memorial Masters Cup,https://www.pdga.com/tour/event/8765
152,Beaver State Fling,https://www.pdga.com/tour/event/8392
153,Minnesota Majestic,https://www.pdga.com/tour/event/8393
154,- Lower Peninsula Open,https://www.pdga.com/tour/event/8394
155,Brent Hambrick Memorial Open,https://www.pdga.com/tour/event/8395
156,First Class Challenge,https://www.pdga.com/tour/event/8396
157,2009 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/8104
158,Vibram Open at Maple Hill,https://www.pdga.com/tour/event/8397
159,European Open,https://www.pdga.com/tour/event/8400
160,United States Masters Disc Golf Championships,https://www.pdga.com/tour/event/8404
161,United States Women's Disc Golf Championships,https://www.pdga.com/tour/event/8401
162,United States Disc Golf Championship,https://www.pdga.com/tour/event/8403
163,The Memorial Championship presented by Discraft,https://www.pdga.com/tour/event/9642
164,Sunshine State Shootout,https://www.pdga.com/tour/event/9641
165,Carolina Clash,https://www.pdga.com/tour/event/9643
166,Tim Selinske United States Masters Championship,https://www.pdga.com/tour/event/9669
167,Steady Ed Memorial Masters Cup,https://www.pdga.com/tour/event/9644
168,Beaver State Fling,https://www.pdga.com/tour/event/9645
169,2010 Japan Open (159.9 grams and under),https://www.pdga.com/tour/event/9552
170,2010 Japan Open International Pool,https://www.pdga.com/tour/event/10799
171,Minnesota Majestic,https://www.pdga.com/tour/event/9647
172,Brent Hambrick Memorial Open,https://www.pdga.com/tour/event/9648
173,Scandinavian Open,https://www.pdga.com/tour/event/9720
174,2010 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/9551
175,Vibram Open at Maple Hill,https://www.pdga.com/tour/event/9649
176,Skylands Classic at Blue Mountain,https://www.pdga.com/tour/event/9650
177,United States Women's Disc Golf Championships,https://www.pdga.com/tour/event/9684
178,United States Disc Golf Championship,https://www.pdga.com/tour/event/9685
179,The Memorial Championship presented by Discraft,https://www.pdga.com/tour/event/11022
180,Texas State Disc Golf Championships,https://www.pdga.com/tour/event/11023
181,Tim Selinske United States Masters Championship,https://www.pdga.com/tour/event/10862
182,Alabama Disc Golf Championship,https://www.pdga.com/tour/event/11024
183,Brent Hambrick Memorial Open,https://www.pdga.com/tour/event/11025
184,Kansas City Wide Open,https://www.pdga.com/tour/event/11026
185,United States Amateur Disc Golf Championship,https://www.pdga.com/tour/event/10872
186,Beaver State Fling,https://www.pdga.com/tour/event/11027
187,King of the Lake,https://www.pdga.com/tour/event/11028
188,European Open,https://www.pdga.com/tour/event/11052
189,2011 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/10861
190,Scholl's Bicycle Center Pittsburgh Flying Disc Open,https://www.pdga.com/tour/event/11029
191,Vibram Open at Maple Hill,https://www.pdga.com/tour/event/11030
192,United States Women's Disc Golf Championships,https://www.pdga.com/tour/event/10871
193,The PDGA Championship,https://www.pdga.com/tour/event/11020
194,The Memorial Championship presented by Discraft,https://www.pdga.com/tour/event/12488
195,"27th Annual ""Steady"" Ed Memorial Masters Cup - presented by DGA",https://www.pdga.com/tour/event/12528
196,30th Kansas City Wide Open,https://www.pdga.com/tour/event/12529
197,Beaver State Fling,https://www.pdga.com/tour/event/12531
198,Stockholm Discgolf Open presented by Latitude 64,https://www.pdga.com/tour/event/12522
199,2012 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/10864
200,Brent Hambrick Memorial Open,https://www.pdga.com/tour/event/12533
201,Vibram Open,https://www.pdga.com/tour/event/12534
202,Tim Selinske U.S. Masters Championships,https://www.pdga.com/tour/event/12535
203,United States Women's Disc Golf Championships presented by Fade Gear,https://www.pdga.com/tour/event/12536
204,United States Disc Golf Championship - Open Flight,https://www.pdga.com/tour/event/12537
205,The 25th Annual Memorial Championship presented by Discraft,https://www.pdga.com/tour/event/14318
206,Texas States Championships,https://www.pdga.com/tour/event/14319
207,"28th Annual ""Steady"" Ed Memorial Masters Cup - presented by DGA",https://www.pdga.com/tour/event/14320
208,Disc Golf Hall of Fame Classic presented by Prodigy Disc,https://www.pdga.com/tour/event/14321
209,Latitude 64 Copenhagen Open - The Major,https://www.pdga.com/tour/event/14317
210,Tim Selinske US Masters Championships,https://www.pdga.com/tour/event/14308
211,Discraft Great Lakes Open,https://www.pdga.com/tour/event/14322
212,Grip Equipment Presents The 31st Kansas City Wide Open,https://www.pdga.com/tour/event/14323
213,Beaver State Fling,https://www.pdga.com/tour/event/14324
214,European Open,https://www.pdga.com/tour/event/14316
215,2013 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/14311
216,Vibram Open,https://www.pdga.com/tour/event/14325
217,United States Womens Disc Golf Championships,https://www.pdga.com/tour/event/14306
218,United States Disc Golf Championship - Open Flight,https://www.pdga.com/tour/event/14315
219,The 26th Annual Memorial Championship presented by Discraft,https://www.pdga.com/tour/event/16373
220,Texas States Championships,https://www.pdga.com/tour/event/16374
221,2014 Tim Selinske United States Masters Championships,https://www.pdga.com/tour/event/16224
222,"29th Annual ""Steady"" Ed Memorial Masters Cup - presented by DGA",https://www.pdga.com/tour/event/16379
223,The 2014 Japan Open,https://www.pdga.com/tour/event/15768
224,The 32nd Kansas City Wide Open,https://www.pdga.com/tour/event/16381
225,Vibram presents the Maple Hill Open,https://www.pdga.com/tour/event/16382
226,European Masters,https://www.pdga.com/tour/event/16383
227,Fort Steilacoom Open,https://www.pdga.com/tour/event/16385
228,2014 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/16386
229,Brent Hambrick Memorial Open - Pro,https://www.pdga.com/tour/event/16389
230,Prodigy Disc present the 40th Anniversary of the Rochester Flying Disc Open,https://www.pdga.com/tour/event/16390
231,United States Womens Disc Golf Championships,https://www.pdga.com/tour/event/16391
232,Aussie Open,https://www.pdga.com/tour/event/19295
233,27th Memorial Championship presented by Discraft,https://www.pdga.com/tour/event/19531
234,Dynamic Discs Glass Blown Open sponsored by Latitude 64,https://www.pdga.com/tour/event/19536
235,"30th Annual ""Steady"" Ed Memorial Masters Cup - Presented by DGA (Pro)",https://www.pdga.com/tour/event/19565
236,Beaver State Fling - Pro,https://www.pdga.com/tour/event/19566
237,Vibram presents the Maple Hill Open,https://www.pdga.com/tour/event/19532
238,Scandinavian Open presented by Latitude 64,https://www.pdga.com/tour/event/19489
239,European Open,https://www.pdga.com/tour/event/19491
240,2015 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/19581
241,Ledgestone Insurance Open presented by Discraft,https://www.pdga.com/tour/event/19535
242,Tim Selinske U.S. Masters Championships,https://www.pdga.com/tour/event/19582
243,Disc Golf Hall of Fame Classic presented by MVP Disc Sports - NT Finale - Innova GTC Series 1,https://www.pdga.com/tour/event/19563
244,United States Women's Disc Golf Championships,https://www.pdga.com/tour/event/19583
245,28th Memorial Championship presented by Discraft,https://www.pdga.com/tour/event/22242
246,Dynamic Discs Glass Blown Open,https://www.pdga.com/tour/event/22228
247,34th Kansas City Wide Open,https://www.pdga.com/tour/event/22243
248,"31st Annual ""Steady"" Ed Memorial Masters Cup - Presented by DGA (Pro)",https://www.pdga.com/tour/event/22230
249,Beaver State Fling Presented by KEEN,https://www.pdga.com/tour/event/22229
250,The Vibram Open,https://www.pdga.com/tour/event/24333
251,European Masters - Disc Golf World Tour #4,https://www.pdga.com/tour/event/24341
252,2016 PDGA Professional Disc Golf World Championships presented by Dynamic Discs,https://www.pdga.com/tour/event/24339
253,The 20th Annual Brent Hambrick Memorial Open Presented by Discraft,https://www.pdga.com/tour/event/22296
254,2016 PDGA Tim Selinske US Masters Disc Golf Championship presented by Innova Champion Discs,https://www.pdga.com/tour/event/24689
255,United States Womens Disc Golf Championship,https://www.pdga.com/tour/event/24343
256,Aussie Open 2017,https://www.pdga.com/tour/event/30323
257,Gentlemen's Club Challenge presented by Innova Champion Discs,https://www.pdga.com/tour/event/30419
258,Dynamic Discs Glass Blown Open - National Tour,https://www.pdga.com/tour/event/30420
259,2017 Masters Cup presented by Innova Disc Golf - Pro,https://www.pdga.com/tour/event/30465
260,Beaver State Fling Presented by KEEN - National Tour,https://www.pdga.com/tour/event/30708
261,2017 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/30813
262,European Open,https://www.pdga.com/tour/event/31709
263,2017 PDGA Pro Masters World Championships presented by Innova,https://www.pdga.com/tour/event/31370
264,Pittsburgh Flying Disc Open Presented by Discraft,https://www.pdga.com/tour/event/30418
265,2017 Tim Selinske US Masters presented by Innova Champion Discs,https://www.pdga.com/tour/event/31365
266,2017 United States Women's Disc Golf Championship Presented by Prodigy,https://www.pdga.com/tour/event/31364
267,Ed Headrick Disc Golf Hall of Fame Classic presented by ProActive Sports Disc Golf - National Tour Finale,https://www.pdga.com/tour/event/30675
268,Las Vegas Challenge presented by Innova Champion Discs - National Tour,https://www.pdga.com/tour/event/33918
269,Dynamic Discs Glass Blown Open - National Tour,https://www.pdga.com/tour/event/33792
270,2018 PDGA Tim Selinske US Masters Championship Driven by Innova,https://www.pdga.com/tour/event/34672
271,Santa Cruz Masters Cup presented by Innova - National Tour,https://www.pdga.com/tour/event/34029
272,Beaver State Fling presented by KEEN - National Tour,https://www.pdga.com/tour/event/34075
273,Konopiště Open 2018,https://www.pdga.com/tour/event/34143
274,2018 PDGA Pro Masters Worlds Championships presented by Dynamic Discs,https://www.pdga.com/tour/event/35386
275,2018 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/35080
276,Delaware Disc Golf Challenge presented by Innova - National Tour,https://www.pdga.com/tour/event/33793
277,United States Women's Disc Golf Championships,https://www.pdga.com/tour/event/33927
278,The Ed Headrick Disc Golf Hall of Fame Classic presented by REC TEC Grills - National Tour Finale,https://www.pdga.com/tour/event/33791
279,Las Vegas Challenge presented by Innova Champion Discs - National Tour,https://www.pdga.com/tour/event/38343
280,2019 Dynamic Discs Glass Blown Open - National Tour,https://www.pdga.com/tour/event/38471
281,Santa Cruz Masters Cup presented by Innova - National Tour,https://www.pdga.com/tour/event/38575
282,Beaver State Fling presented by KEEN - National Tour,https://www.pdga.com/tour/event/38977
283,2019 PDGA Professional Masters Disc Golf World Championships Driven By Innova,https://www.pdga.com/tour/event/38853
284,European Open,https://www.pdga.com/tour/event/38397
285,2019 PDGA Professional Disc Golf World Championships,https://www.pdga.com/tour/event/38709
286,Delaware Disc Golf Challenge - National Tour,https://www.pdga.com/tour/event/38851
287,2019 PDGA Tim Selinske US Masters,https://www.pdga.com/tour/event/38708
288,2019 United States Women's Disc Golf Championships - presented by Spotsy Disc Golf Club and Driven by Innova Discs,https://www.pdga.com/tour/event/39019
289,The Ed Headrick Disc Golf Hall of Fame Classic presented by REC TEC Grills - National Tour Finale,https://www.pdga.com/tour/event/38694
290,2020 Texas State Disc Golf Championship Presented by Latitude 64 - National Tour,https://www.pdga.com/tour/event/43344
291,Dynamic Discs Glass Blown Open - National Tour,https://www.pdga.com/tour/event/43242
292,Santa Cruz Masters Cup Presented by Innova - National Tour,https://www.pdga.com/tour/event/43371
293,2020 United States Women's Disc Golf Championships Presented by Innova Champion Discs,https://www.pdga.com/tour/event/43611
294,2020 PDGA Tim Selinske U.S. Masters Championships,https://www.pdga.com/tour/event/43863
295,2020 PDGA Professional Disc Golf World Championships Presented by Grip6,https://www.pdga.com/tour/event/43622
296,Beaver State Fling - National Tour,https://www.pdga.com/tour/event/43888
297,European Open,https://www.pdga.com/tour/event/43619
298,2020 PDGA Professional Masters Disc Golf World Championships,https://www.pdga.com/tour/event/44545
299,Delaware Disc Golf Challenge - National Tour - Driven by Innova,https://www.pdga.com/tour/event/44366
300,2020 Music City Open Presented by Dynamic Discs - NT Finale,https://www.pdga.com/tour/event/43370
301,26th Annual Texas State Disc Golf Championship Presented by Latitude 64 - National Tour,https://www.pdga.com/tour/event/47512
302,Dynamic Discs Open - National Tour,https://www.pdga.com/tour/event/47516
303,2021 United States Women's Disc Golf Championships Presented by Innova Champion Discs,https://www.pdga.com/tour/event/47519
304,Santa Cruz Masters Cup Presented by Innova - National Tour,https://www.pdga.com/tour/event/47514
305,Beaver State Fling - National Tour,https://www.pdga.com/tour/event/47524
306,2021 PDGA Professional Disc Golf World Championships Presented by Grip6,https://www.pdga.com/tour/event/47784
307,DGPT - Des Moines Challenge presented by Discraft,https://www.pdga.com/tour/event/52009
308,2021 European Open,https://www.pdga.com/tour/event/49819
309,2021 PDGA Professional Masters Disc Golf World Championships,https://www.pdga.com/tour/event/47513
310,Delaware Disc Golf Challenge - National Tour - Driven by Innova,https://www.pdga.com/tour/event/47520
311,2021 PDGA Tim Selinske U.S. Masters Championships Presented by Innova,https://www.pdga.com/tour/event/47468
312,2021 Music City Open Presented by Dynamic Discs - NT Finale,https://www.pdga.com/tour/event/47541
