Name,PDGA #,Rating,Year,Gender,Class,Division,Country,State/Province,Events,Points,Cash
C. Neal,98167,1000,2021,Male,Pro,Open,United States,Mississippi,17,2162,4160.00
C. Hatfield,23651,1010,2021,Male,Pro,Open,United States,Oklahoma,22,3160,4124.00
C. Hood,51378,989,2021,Male,Pro,Pro Masters 40+,United States,Idaho,8,600,4112.00
J. Jones,43834,996,2021,Male,Pro,Open,United States,Missouri,14,4905,4100.00
T. Tanner,99053,1002,2021,Male,Pro,Open,United States,Colorado,19,10652,4098.00
S. Elmore,57425,1010,2021,Male,Pro,Open,United States,California,17,6462,4097.00
K. McCoy,9453,1004,2021,Male,Pro,Pro Masters 40+,United States,Georgia,7,1640,4089.00
M. Johansen,20300,1018,2021,Male,Pro,Pro Masters 40+,United States,North Carolina,2,1144,4056.00
N. Ramser,90461,1002,2021,Male,Pro,Open,United States,Kansas,15,4492,4048.00
C. Olsen,60666,988,2021,Male,Pro,Open,United States,Maine,20,5420,4040.00
K. Mertsch,99455,916,2021,Female,Pro,Open Women,United States,Arkansas,23,2262,4026.00
D. Brooks-Wells,79228,1007,2021,Male,Pro,Open,United States,Pennsylvania,23,11922,4016.00
S. Stokely,3140,991,2021,Male,Pro,Pro Masters 50+,United States,Texas,9,636,3996.00
E. Rainey,41947,986,2021,Male,Pro,Pro Masters 60+,United States,Oklahoma,3,318,3995.00
J. Propalis,55926,991,2021,Male,Pro,Open,United States,Pennsylvania,24,9437,3945.00
S. Drummond,100689,1001,2021,Male,Pro,Open,United States,North Carolina,21,11807,3942.00
P. McGuire,83784,972,2021,Male,Pro,Open,United States,Missouri,33,3012,3919.00
M. Hoffman,46997,990,2021,Male,Pro,Open,United States,Tennessee,31,8492,3919.00
C. Bruce,101944,1001,2021,Male,Pro,Open,United States,Oklahoma,16,3765,3918.00
J. Fletcher,65940,987,2021,Male,Pro,Open,United States,Nebraska,18,4120,3895.00
C. Eads,34491,1008,2021,Male,Pro,Open,United States,Arkansas,14,1840,3893.00
Z. Arlinghaus,65266,1003,2021,Male,Pro,Open,United States,Kentucky,17,5837,3885.00
M. Vang,40532,997,2021,Male,Pro,Pro Masters 50+,United States,Washington,16,543,3883.00
J. Lauber,44782,1006,2021,Male,Pro,Open,United States,Iowa,12,7470,3868.00
B. Schultz,6840,1022,2021,Male,Pro,Pro Masters 40+,United States,North Carolina,8,878,3854.00
D. Smith,16831,986,2021,Male,Pro,Pro Masters 40+,United States,California,11,2296,3851.00
A. Krause,100061,1003,2021,Male,Pro,Open,United States,Colorado,13,6105,3844.00
C. Pinegar,74719,1015,2021,Male,Pro,Open,United States,California,12,4222,3843.00
D. Hastings,33504,1017,2021,Male,Pro,Open,United States,North Carolina,18,4727,3804.00
T. Crowe,67172,1000,2021,Male,Pro,Open,United States,Indiana,27,10432,3799.00
A. Tamm,76669,1021,2021,Male,Pro,Open,Estonia,,10,8152,3783.00
R. Rhodes,91979,980,2021,Male,Pro,Open,United States,North Carolina,19,4680,3756.00
J. Lutz,45887,1014,2021,Male,Pro,Open,United States,Tennessee,11,1710,3744.00
P. Bartholomew,45441,1004,2021,Male,Pro,Open,United States,North Carolina,23,6887,3736.00
M. Enman,22243,1001,2021,Male,Pro,Open,United States,Maine,10,2490,3723.00
S. Celis,89499,992,2021,Male,Pro,Pro Masters 50+,United States,Arizona,5,504,3718.00
D. Bretado,26981,994,2021,Male,Pro,Pro Masters 40+,United States,California,6,898,3701.00
N. Bishop,104998,980,2021,Male,Pro,Open,United States,Virginia,36,4930,3698.00
H. Thompson,60259,997,2021,Male,Pro,Open,United States,Tennessee,13,5005,3696.00
B. Creger,49717,984,2021,Male,Pro,Open,United States,Ohio,23,3752,3694.00
J. Joers,45713,991,2021,Male,Pro,Pro Masters 40+,United States,Oregon,17,1652,3692.00
D. Vazquez,83139,968,2021,Male,Pro,Open,United States,Texas,41,4082,3690.00
A. Ritter,5453,979,2021,Male,Pro,Pro Masters 55+,United States,Kentucky,2,342,3675.00
D. Rees,60300,998,2021,Male,Pro,Open,United States,New York,13,1745,3668.00
T. Liebman,24981,1005,2021,Male,Pro,Open,United States,Colorado,12,5345,3665.00
A. Brown,89148,1003,2021,Male,Pro,Open,United States,Wisconsin,11,4355,3654.00
E. McCourry,128796,988,2021,Male,Pro,Open,United States,North Carolina,29,2252,3651.00
J. McCray,9852,1018,2021,Male,Pro,Open,United States,Florida,9,6380,3649.00
N. Carl,82935,1000,2021,Male,Pro,Open,United States,Massachusetts,17,5227,3632.00
D. Herrington,71239,1002,2021,Male,Pro,Open,United States,Oregon,24,6767,3615.00
A. Turner,54049,1021,2021,Male,Pro,Open,United States,North Carolina,6,1845,3610.00
D. Napier,31473,1005,2021,Male,Pro,Pro Masters 40+,United States,Kentucky,7,1690,3597.00
R. Alaniz,31881,977,2021,Male,Pro,Pro Masters 40+,United States,California,15,1444,3591.00
J. Nieminen,58923,1024,2021,Male,Pro,Open,Finland,,6,3880,3591.00
